epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6748,2.46375,6.2495,2.07746,0.64417,0.38742,0.29957,0.11323,1.99014,3.84954,1.72747,0.00024442,0.00024442,0.00024442
2,27.0072,1.9445,2.72426,1.63334,0.43899,0.54884,0.42524,0.18839,1.80072,1.87651,1.70096,0.000499429,0.000499429,0.000499429
3,38.181,1.81359,2.04158,1.5515,0.14152,0.22876,0.10672,0.03892,2.15206,5.0071,2.04333,0.000753905,0.000753905,0.000753905
4,49.4651,1.82744,1.84592,1.53279,0.66616,0.50415,0.45481,0.21073,1.76192,1.72678,1.62724,0.00100785,0.00100785,0.00100785
5,60.7294,1.75824,1.62962,1.51454,0.66422,0.29998,0.3455,0.15318,1.86094,3.04994,1.66903,0.00110637,0.00110637,0.00110637
6,71.9661,1.71706,1.57518,1.47737,0.68133,0.47081,0.43045,0.19674,1.79209,2.0854,1.63497,0.00110521,0.00110521,0.00110521
7,83.0233,1.75172,1.51052,1.50276,0.5239,0.56324,0.53863,0.2501,1.69563,1.51416,1.58766,0.00110405,0.00110405,0.00110405
8,94.2195,1.76748,1.5577,1.5021,0.46331,0.61676,0.49223,0.22751,1.68107,1.95019,1.56443,0.0011029,0.0011029,0.0011029
9,105.296,1.66764,1.47646,1.45817,0.50194,0.61012,0.50942,0.25098,1.66003,1.66665,1.55955,0.00110174,0.00110174,0.00110174
10,116.563,1.74343,1.51608,1.50445,0.78864,0.53161,0.64374,0.31988,1.59986,1.60035,1.5351,0.00110058,0.00110058,0.00110058
11,127.708,1.76514,1.57551,1.57734,0.48487,0.57307,0.58644,0.29007,1.711,1.49124,1.6116,0.00109942,0.00109942,0.00109942
12,138.946,1.66081,1.47608,1.46823,0.48637,0.64156,0.59491,0.31099,1.69364,1.57535,1.51411,0.00109826,0.00109826,0.00109826
13,150.025,1.68577,1.39828,1.45271,0.58464,0.71502,0.64802,0.34286,1.59036,1.26558,1.47196,0.00109711,0.00109711,0.00109711
14,161.236,1.69174,1.40671,1.4805,0.44655,0.79618,0.62912,0.31982,1.57526,1.31757,1.45749,0.00109595,0.00109595,0.00109595
15,172.512,1.65402,1.35337,1.44479,0.60867,0.73552,0.70762,0.3646,1.62178,1.11985,1.48671,0.00109479,0.00109479,0.00109479
16,183.8,1.68208,1.3567,1.44566,0.63574,0.73322,0.72074,0.3513,1.61641,1.13388,1.47224,0.00109363,0.00109363,0.00109363
17,194.933,1.67427,1.362,1.45795,0.50595,0.65098,0.62192,0.32493,1.60152,1.28146,1.46289,0.00109248,0.00109248,0.00109248
18,206.034,1.62761,1.3464,1.41857,0.55406,0.74212,0.70883,0.33573,1.64834,1.32706,1.50522,0.00109132,0.00109132,0.00109132
19,217.27,1.63645,1.32492,1.4173,0.51557,0.7305,0.6786,0.35619,1.58792,1.18646,1.45535,0.00109016,0.00109016,0.00109016
20,228.406,1.63883,1.29368,1.40921,0.554,0.78959,0.69035,0.32656,1.69203,1.13324,1.54684,0.001089,0.001089,0.001089
21,239.456,1.64549,1.31382,1.46206,0.54203,0.78145,0.71229,0.35396,1.64513,1.15222,1.49198,0.00108784,0.00108784,0.00108784
22,250.722,1.6175,1.27822,1.44198,0.67652,0.6465,0.68552,0.34384,1.62191,1.18594,1.48481,0.00108669,0.00108669,0.00108669
23,261.991,1.64452,1.22933,1.4635,0.58487,0.76912,0.73851,0.37702,1.60011,1.13656,1.49843,0.00108553,0.00108553,0.00108553
24,273.316,1.57579,1.28391,1.42142,0.61297,0.66128,0.67244,0.35851,1.57587,1.22447,1.44452,0.00108437,0.00108437,0.00108437
25,284.477,1.62019,1.24635,1.41315,0.78705,0.52644,0.63816,0.31942,1.69615,1.62605,1.55349,0.00108321,0.00108321,0.00108321
26,295.717,1.58473,1.2316,1.40294,0.6164,0.78091,0.74067,0.39142,1.4903,1.15552,1.41305,0.00108206,0.00108206,0.00108206
27,307.226,1.60424,1.26962,1.43906,0.61255,0.79486,0.74166,0.37952,1.54133,1.17623,1.43409,0.0010809,0.0010809,0.0010809
28,318.744,1.5791,1.24269,1.40416,0.62738,0.72851,0.74898,0.40957,1.50184,1.1411,1.40642,0.00107974,0.00107974,0.00107974
29,330.061,1.60308,1.26412,1.42854,0.65439,0.7411,0.73434,0.3865,1.54241,1.11827,1.42277,0.00107858,0.00107858,0.00107858
30,341.528,1.56797,1.22744,1.40402,0.68436,0.79022,0.76334,0.41079,1.55281,1.05291,1.45571,0.00107742,0.00107742,0.00107742
31,353.155,1.6308,1.21121,1.43489,0.58504,0.67214,0.70139,0.36131,1.65958,1.1008,1.47166,0.00107627,0.00107627,0.00107627
32,364.349,1.62626,1.26315,1.44073,0.69813,0.7965,0.78575,0.4155,1.55667,1.01079,1.45342,0.00107511,0.00107511,0.00107511
33,375.661,1.54269,1.19307,1.40653,0.5805,0.8339,0.79544,0.4285,1.52645,1.03841,1.44081,0.00107395,0.00107395,0.00107395
34,387.158,1.57731,1.18952,1.41124,0.62094,0.78357,0.73903,0.3875,1.58133,1.06606,1.45144,0.00107279,0.00107279,0.00107279
35,398.374,1.53592,1.13806,1.36336,0.59296,0.80479,0.75639,0.41068,1.4785,1.11235,1.40942,0.00107164,0.00107164,0.00107164
36,409.548,1.58834,1.18829,1.4022,0.62342,0.78727,0.75755,0.41097,1.50647,1.03844,1.40488,0.00107048,0.00107048,0.00107048
37,420.811,1.56816,1.16483,1.36966,0.64766,0.78761,0.73227,0.38741,1.53107,1.07121,1.41229,0.00106932,0.00106932,0.00106932
38,432.115,1.53605,1.16543,1.37593,0.64694,0.84768,0.78809,0.44839,1.47354,0.96892,1.39964,0.00106816,0.00106816,0.00106816
39,443.385,1.56389,1.16422,1.38228,0.60272,0.70893,0.75723,0.42035,1.48054,1.03038,1.3792,0.001067,0.001067,0.001067
40,454.559,1.54105,1.11988,1.38715,0.62376,0.78919,0.77389,0.41613,1.52307,1.04201,1.40956,0.00106585,0.00106585,0.00106585
41,465.758,1.54099,1.13758,1.39258,0.70295,0.71868,0.76392,0.42493,1.49764,1.00045,1.40887,0.00106469,0.00106469,0.00106469
42,477.043,1.53929,1.12732,1.35984,0.6411,0.84757,0.81836,0.44955,1.54474,1.04217,1.41658,0.00106353,0.00106353,0.00106353
43,488.363,1.54798,1.11013,1.37549,0.70595,0.72177,0.79047,0.44009,1.47733,1.00376,1.38245,0.00106237,0.00106237,0.00106237
44,499.629,1.53508,1.18336,1.38067,0.73161,0.79635,0.83177,0.4737,1.44623,0.93269,1.37096,0.00106122,0.00106122,0.00106122
45,511.07,1.57841,1.10673,1.40094,0.72711,0.75686,0.82066,0.47685,1.44983,0.93041,1.36849,0.00106006,0.00106006,0.00106006
46,522.464,1.52263,1.10368,1.34526,0.73648,0.79997,0.80931,0.42556,1.55864,0.96287,1.44815,0.0010589,0.0010589,0.0010589
47,534.123,1.50936,1.11647,1.3383,0.66103,0.80148,0.79497,0.43822,1.50979,0.98603,1.40952,0.00105774,0.00105774,0.00105774
48,545.447,1.48627,1.12569,1.36704,0.62016,0.85418,0.82935,0.44863,1.59433,0.95886,1.44204,0.00105658,0.00105658,0.00105658
49,556.78,1.51346,1.06929,1.38266,0.72749,0.8049,0.82934,0.46455,1.48609,0.91273,1.39822,0.00105543,0.00105543,0.00105543
50,568.137,1.53369,1.09636,1.37242,0.78138,0.83982,0.85716,0.49328,1.44888,0.89277,1.38095,0.00105427,0.00105427,0.00105427
51,579.513,1.50365,1.07095,1.38056,0.6778,0.82062,0.80437,0.46094,1.41693,0.9499,1.36031,0.00105311,0.00105311,0.00105311
52,590.768,1.52589,1.14,1.36743,0.69681,0.8136,0.81456,0.47338,1.40763,0.93378,1.35177,0.00105195,0.00105195,0.00105195
53,601.9,1.50596,1.1495,1.36954,0.7599,0.783,0.84534,0.4894,1.44907,0.90626,1.37908,0.0010508,0.0010508,0.0010508
54,613.268,1.51075,1.11293,1.37876,0.76077,0.8192,0.85,0.49023,1.4083,0.89017,1.35522,0.00104964,0.00104964,0.00104964
55,624.547,1.51021,1.06496,1.37353,0.66584,0.77037,0.79454,0.45721,1.43438,0.93143,1.35721,0.00104848,0.00104848,0.00104848
56,635.858,1.4873,1.04662,1.33348,0.71299,0.78941,0.81584,0.45332,1.52165,0.9557,1.42449,0.00104732,0.00104732,0.00104732
57,647.064,1.49298,1.05717,1.36706,0.74786,0.69115,0.79105,0.41091,1.62999,0.98049,1.48367,0.00104616,0.00104616,0.00104616
